Latitude;Longitude;IstRad;IstPKW;IstFuss;IstKrad;IstSonstig;TagKategorie;Monat;Stunde;Unfallart;Unfalltyp;Lichtverhältnisse;Straßenverhältnisse;Straßenart;Stadtteil;Jahr;Unfallklasse Wahr;Unfallklasse Bestimmt;Wahrscheinlichkeit Klasse 0;Wahrscheinlichkeit Klasse 1;Wahrscheinlichkeit Klasse 2;Unsicherheits-Score;Base-Value Klasse 0;SHAP_0_IstRad;SHAP_0_IstPKW;SHAP_0_IstFuss;SHAP_0_IstKrad;SHAP_0_IstSonstig;SHAP_0_TagKategorie;SHAP_0_Monat;SHAP_0_Stunde;SHAP_0_Unfallart;SHAP_0_Unfalltyp;SHAP_0_Lichtverhältnisse;SHAP_0_Straßenverhältnisse;SHAP_0_Straßenart;Base-Value Klasse 1;SHAP_1_IstRad;SHAP_1_IstPKW;SHAP_1_IstFuss;SHAP_1_IstKrad;SHAP_1_IstSonstig;SHAP_1_TagKategorie;SHAP_1_Monat;SHAP_1_Stunde;SHAP_1_Unfallart;SHAP_1_Unfalltyp;SHAP_1_Lichtverhältnisse;SHAP_1_Straßenverhältnisse;SHAP_1_Straßenart;Base-Value Klasse 2;SHAP_2_IstRad;SHAP_2_IstPKW;SHAP_2_IstFuss;SHAP_2_IstKrad;SHAP_2_IstSonstig;SHAP_2_TagKategorie;SHAP_2_Monat;SHAP_2_Stunde;SHAP_2_Unfallart;SHAP_2_Unfalltyp;SHAP_2_Lichtverhältnisse;SHAP_2_Straßenverhältnisse;SHAP_2_Straßenart
49,98053227;8,247253952;1;1;0;0;0;0;9;19;5;3;0;0;residential;Bretzenheim;2021;2;2;9,427200258;34,29841697;56,2743783;0,594033352;19,43248558;0,256216624;-0,313995108;-0,309119164;-0,088975903;-1,694612307;-0,010656796;0,004467146;0,224505991;0,201794015;0,378078862;-0,205019746;0,058648984;-8,506617926;33,22311976;0,31259738;-0,448620004;0,01836902;-0,074147702;0,387838564;-0,003033494;0,028886934;0,207258621;0,248609498;0,606329291;0,034620315;0,002115896;-0,245527109;47,34439465;-1,897755821;0,997987164;0,488197037;0,969756059;1,691117972;0,000589116;0,021214827;-0,598461001;-1,201601631;0,004870069;0,412877958;-0,357944355;8,39913625
50,01626856;8,238204804;0;1;0;0;0;1;1;19;5;3;2;0;tertiary;Mombach;2022;2;2;23,90853465;33,10934603;42,98211634;0,834783772;19,43248558;0,387917262;-0,173374765;-0,594314016;-0,147357524;-1,581140496;0,008110418;-0,017520497;0,824779585;1,539196957;0,94475479;0,952380044;0,065008196;2,267609109;33,22311976;0,026649399;0,061241003;-0,006073628;0,012596485;-0,048603768;-0,001552223;0,042672644;-0,036607554;-0,067865635;-0,125074814;0,022981365;-0,000345102;0,006208097;47,34439465;-0,533663801;2,183500172;2,503087182;3,803254056;5,000826114;-0,039092267;0,354472302;-0,819521797;-9,962700531;1,146725741;-4,39437599;-1,108631696;-2,496157798
50,00172165;8,182865334;0;1;0;0;0;1;11;13;2;6;0;0;motorway_link;Finthen;2020;2;2;9,925297648;16,76159054;73,31311107;0,397388008;19,43248558;-2,187732471;-0,187339535;-0,657377239;-0,444694942;-3,565568047;0,00945666;0,080599065;-0,872082388;-5,61750359;0,923827331;-0,562556301;0,133014592;3,440768929;33,22311976;-1,491819483;-2,504911106;0,103538011;-0,489733736;0,655978302;0,048433801;-1,219856237;0,391380825;-5,105386333;-7,149133538;0,193983798;0,111503833;-0,005507359;47,34439465;3,603518166;1,056060424;0,54478983;1,547870156;2,285103863;-0,005929953;0,069765073;0,472305055;13,75402708;2,467474938;0,513659225;-0,356903093;0,016975644
49,96093582;8,312340268;1;0;0;0;1;0;5;13;5;3;0;0;tertiary;Laubenheim;2018;2;0;49,47876334;24,17180687;26,34941936;0,757085345;19,43248558;1,34256429;5,478189552;-0,566324614;-0,194428337;17,52754547;-0,011769405;-0,243733995;0,009615906;3,13526843;1,53109762;-0,262190817;0,1185005;2,181943155;33,22311976;0,442589128;0,905294439;0,267635791;-0,135415411;-10,36992861;0,022155428;0,555372026;0,186283366;-1,811465104;0,944101629;-0,059187534;0,011964618;-0,010712654;47,34439465;-1,354352865;-7,826255465;0,406099218;1,242062892;-11,12822884;-0,001116403;-0,039342614;-0,146198631;-1,930016472;-0,377191078;0,459802026;-0,450766029;0,150528962
49,97620312;8,270227987;0;1;0;0;0;0;8;9;4;2;0;0;secondary;Oberstadt;2018;2;1;19,44505125;41,0669893;39,48795795;0,791227438;19,43248558;-0,011985951;0,003077639;0,002974702;0,004231035;0,019287284;5,98581E-05;-0,000421014;-0,006516669;-0,063746315;0,08617104;0,001058278;-0,002017186;-0,019607032;33,22311976;-0,649711984;-1,683318721;0,081512096;-0,228740911;1,785120462;-0,032774133;0,290859971;-2,0795165;2,635576103;7,64661142;-0,031234302;0,021865245;0,087620795;47,34439465;-1,000378896;0,264650096;0,356289842;1,171144889;1,490612856;0,00686264;-0,278941013;-0,495473886;-16,38859265;8,82427638;0,259754403;-0,482693541;-1,583947822
50,00623408;8,271450093;0;1;0;0;0;0;11;19;2;6;2;0;primary;Altstadt;2021;2;2;13,21867853;17,07706749;69,70424652;0,453413935;19,43248558;-4,723831285;-0,236380064;-1,934844801;-0,895475456;-6,015733554;-0,024131342;0,09166233;4,353918536;-10,47620246;2,571176659;4,213123518;0,234547235;6,628363636;33,22311976;-1,261404044;-2,282536582;0,176577563;-0,377362772;0,512945901;-0,010194732;-1,16363192;0,368608752;-4,434168011;-6,400825832;-0,596580412;0,108913139;-0,786393315;47,34439465;3,626573584;1,026617523;0,761849172;1,535839439;2,064445067;-0,001678365;0,076136754;-0,694433449;13,97567462;2,355574177;-1,660163304;-0,332828141;-0,373755215
49,97321011;8,273690385;0;1;0;0;0;0;7;7;3;6;0;0;motorway;Hechtsheim;2019;2;2;19,64724809;34,85501409;45,4977423;0,774967573;19,43248558;-0,246865377;0,146674741;0,374946486;0,220688759;1,306246153;0,011387596;-0,021691085;1,530500702;0,379603873;-0,71592385;0,293361339;-0,052248895;-3,011917937;33,22311976;-1,593924735;-1,101002956;0,848786881;-0,37230599;1,487402229;-0,029132742;0,532534375;-0,163771161;6,061527841;-7,310862293;0,373896637;0,214267248;2,68447899;47,34439465;-0,043333637;0,752801872;0,748438393;1,062187482;1,292666644;0,001981782;-0,112040703;1,325763514;0,321991276;0,907769612;0,419969206;-0,303490605;-8,221357196
49,99654178;8,271141517;0;1;0;0;0;0;4;9;2;6;0;0;path;Altstadt;2016;2;2;10,29305756;16,62553847;73,08140397;0,401262098;19,43248558;-2,308891412;-0,191987286;-0,726732741;-0,457542391;-3,758398387;-0,009485993;-0,0650784;-0,007970277;-5,726238973;1,18500709;-0,616826378;0,140936595;3,403780531;33,22311976;-1,510567051;-2,463105217;0,127302203;-0,527068751;0,669360282;-0,026925511;0,694445344;-1,535443446;-4,887301488;-6,521986946;0,168661054;0,094629443;-0,879581209;47,34439465;3,616033555;1,062147805;0,554156895;1,561771808;2,291668438;-0,003748195;-0,012837317;0,120129653;13,83112413;2,551529521;0,518269084;-0,362277907;0,00904184
49,99988987;8,260860224;0;1;0;0;0;0;9;13;2;6;0;1;primary;Oberstadt;2019;2;2;8,823055774;16,11045152;75,06648898;0,370829398;19,43248558;-2,147020389;-0,140699657;-0,593389573;-0,390177313;-3,106608616;-0,010620112;0,029910749;-0,779107006;-5,934165361;0,939216905;-0,494765781;-0,573028388;2,591024733;33,22311976;-1,526169638;-2,540847583;0,125268575;-0,512469677;0,69714043;-0,012877512;0,484272599;0,466081353;-5,219712768;-7,413878827;0,196703547;-0,931502482;-0,924676257;47,34439465;3,621698844;1,052111503;0,592395056;1,212355902;2,175062261;-0,002375421;0,04147391;0,524698571;14,64057628;2,317984286;0,541988484;1,365730235;-0,361605584
50,01979317;8,227034769;0;1;0;0;0;0;12;11;5;3;0;0;residential;Mombach;2018;2;2;9,956374764;31,38047457;58,66314769;0,577171073;19,43248558;0,137334548;-0,399018649;-0,497034864;-0,089942198;-1,656908117;-0,006083807;0,062717327;0,697171277;1,005601645;0,018637536;-0,218325804;0,059936538;-8,590196252;33,22311976;5,580914812;13,59746391;-0,554315685;3,039123342;-11,20453146;0,070271154;14,33167203;0,850549493;-10,88422893;-25,33495565;-1,213184017;-0,101703415;9,980279225;47,34439465;0,272084381;1,16657742;0,75298843;1,063088966;1,762426336;-0,001073398;0,065440716;-0,491668313;-3,521534683;0,601279032;0,506605789;-0,386320369;9,528858726
49,99479036;8,280472675;0;0;0;0;1;0;11;3;0;1;2;1;secondary;Altstadt;2021;1;1;29,56599295;40,05108774;30,38291931;0,898985629;19,43248558;0,624404176;0,741494758;-0,983409245;0,188238111;8,624358524;-0,014603004;0,36089011;3,659282534;-9,307507519;5,077840905;1,17575699;-1,213630766;1,200391794;33,22311976;-0,557113125;7,960511731;0,471626138;-0,133947489;-6,400179376;-0,05896512;-1,034020203;-2,089017338;5,944755987;3,1713657;-0,097149177;-0,278601912;-0,071297841;47,34439465;-0,649112297;-3,45636596;0,625638485;-0,325133036;-4,566007817;0,012867991;0,055668256;-2,876550559;1,705314849;-8,810668259;-1,560921862;2,774617855;0,109177011
50,02025246;8,220749253;0;1;0;1;0;0;8;9;2;6;0;0;tertiary;Mombach;2016;2;1;25,65786242;37,19338775;37,14874983;0,884867287;19,43248558;-4,367896128;-0,403035033;-1,461845617;20,2111018;-7,114488707;-0,031382502;0,051393061;-0,086045614;-8,230325783;1,120223456;-1,305617132;0,621185182;7,222109864;33,22311976;0,870216957;2,479113915;-0,1472285;-8,562079006;-1,022622055;0,032967112;-0,772713037;1,781388954;3,137608469;6,408963091;-0,398882499;-0,137306101;0,300840684;47,34439465;1,617084858;0,623174728;0,281591077;-19,5192941;1,102225015;-0,001494005;-0,055049423;-0,035265832;5,839155266;1,231077345;0,225280857;-0,858481294;-0,645649314
50,02526062;8,209534037;0;1;0;1;0;0;5;16;5;3;0;0;secondary;Mombach;2016;1;1;31,6413641;44,68402863;23,67460877;0,816291534;19,43248558;0,459202192;-0,366461377;-0,673631543;7,777942228;-3,116003703;-0,016285669;-0,071490367;-0,492872285;3,268144026;1,010906899;-0,437390954;0,297591947;4,569227121;33,22311976;-0,381754866;-1,651848646;0,088780051;5,60889267;1,884212922;-0,00484828;0,668528385;0,528628227;1,092154936;3,590456448;0,214247781;0,017450088;-0,193990852;47,34439465;-0,231044251;0,488433904;0,345301063;-19,68888054;1,011941462;0,000733255;-0,069057349;0,010496574;-3,237629651;-0,059978649;0,221439693;-1,018028188;-1,443513213
50,00491426;8,218053774;1;1;0;0;0;0;7;18;5;2;0;0;secondary;Gonsenheim;2022;2;2;14,31539655;36,05454564;49,63004887;0,691454253;19,43248558;0,125319247;-0,444070736;-0,316688605;-0,345401922;-2,517997326;-0,008274032;-0,011532625;-0,303027172;1,460326638;-5,087589277;-0,165272009;0,148882661;2,348236122;33,22311976;0,332897262;-0,609719907;0,010596169;-0,095665056;0,702703971;-0,004436495;0,137644232;0,082872855;0,542971716;1,852949064;-0,050799838;0,009916004;-0,080504099;47,34439465;-0,643599559;0,501911151;0,217992328;0,806132717;1,062386642;0,001285565;-0,028306902;-0,015370609;-0,971852801;1,791909023;0,191497234;-0,22184461;-0,406485963
